Date,Country,Daily Cases,Daily Deaths,Daily Recovered,Total Cases,Total Deaths,Total Recovered
2025-03-09,USA,18163,1762,17796,20341462,435858,19906999
2025-03-08,USA,15060,451,14904,20356522,436309,19921903
2025-03-07,USA,15501,1139,15402,20372023,437448,19937305
2025-03-06,USA,49173,711,48698,20421196,438159,19986003
2025-03-05,USA,42609,1586,42335,20463805,439745,20028338
2025-03-04,USA,35311,1520,35289,20499116,441265,20063627
2025-03-03,USA,19480,1633,19296,20518596,442898,20082923
2025-03-02,USA,46036,513,45987,20564632,443411,20128910
2025-03-01,USA,42198,300,42129,20606830,443711,20171039
2025-02-28,USA,48371,394,48228,20655201,444105,20219267
2025-02-27,USA,21861,323,21659,20677062,444428,20240926
2025-02-26,USA,32128,1402,32026,20709190,445830,20272952
2025-02-25,USA,21255,998,21135,20730445,446828,20294087
2025-02-24,USA,9286,1929,9066,20739731,448757,20303153
2025-02-23,USA,752,1390,673,20740483,450147,20303826
2025-02-22,USA,10172,467,10023,20750655,450614,20313849
2025-02-21,USA,36118,1955,35794,20786773,452569,20349643
2025-02-20,USA,8413,228,8203,20795186,452797,20357846
2025-02-19,USA,23474,510,23191,20818660,453307,20381037
2025-02-18,USA,27743,1372,27679,20846403,454679,20408716
2025-02-17,USA,9985,1516,9942,20856388,456195,20418658
2025-02-16,USA,12272,163,12065,20868660,456358,20430723
2025-02-15,USA,45920,711,45798,20914580,457069,20476521
2025-02-14,USA,16995,1448,16905,20931575,458517,20493426
2025-02-13,USA,14247,514,14112,20945822,459031,20507538
2025-02-12,USA,5573,1840,5122,20951395,460871,20512660
2025-02-11,USA,12684,700,12637,20964079,461571,20525297
2025-02-10,USA,42582,1898,42354,21006661,463469,20567651
2025-02-09,USA,16694,1244,16561,21023355,464713,20584212
2025-02-08,USA,700,1407,609,21024055,466120,20584821
2025-02-07,USA,14213,296,13913,21038268,466416,20598734
2025-02-06,USA,25326,1259,25169,21063594,467675,20623903
2025-02-05,USA,38155,1295,38094,21101749,468970,20661997
2025-02-04,USA,33311,725,32870,21135060,469695,20694867
2025-02-03,USA,12956,1888,12679,21148016,471583,20707546
2025-02-02,USA,6282,712,5873,21154298,472295,20713419
2025-02-01,USA,2030,1262,1672,21156328,473557,20715091
2025-01-31,USA,20070,1195,19807,21176398,474752,20734898
2025-01-30,USA,34133,114,33667,21210531,474866,20768565
2025-01-29,USA,16259,744,16064,21226790,475610,20784629
2025-01-28,USA,24589,1412,24131,21251379,477022,20808760
2025-01-27,USA,25369,1041,24964,21276748,478063,20833724
2025-01-26,USA,15184,1324,14734,21291932,479387,20848458
2025-01-25,USA,5900,809,5759,21297832,480196,20854217
2025-01-24,USA,42335,595,41865,21340167,480791,20896082
2025-01-23,USA,26960,1935,26922,21367127,482726,20923004
2025-01-22,USA,15886,59,15506,21383013,482785,20938510
2025-01-21,USA,12397,1460,12148,21395410,484245,20950658
2025-01-20,USA,23958,620,23626,21419368,484865,20974284
2025-01-19,USA,32931,1232,32862,21452299,486097,21007146
2025-01-18,USA,23765,404,23464,21476064,486501,21030610
2025-01-17,USA,6746,1393,6651,21482810,487894,21037261
2025-01-16,USA,41877,418,41872,21524687,488312,21079133
2025-01-15,USA,1850,668,1702,21526537,488980,21080835
2025-01-14,USA,13525,1633,13346,21540062,490613,21094181
2025-01-13,USA,30783,1300,30448,21570845,491913,21124629
2025-01-12,USA,6756,1939,6355,21577601,493852,21130984
2025-01-11,USA,47714,1486,47453,21625315,495338,21178437
2025-01-10,USA,35282,1727,35251,21660597,497065,21213688
2025-01-09,USA,9257,999,8992,21669854,498064,21222680
2025-01-08,USA,32208,998,32050,21702062,499062,21254730
2025-01-07,USA,24727,209,24717,21726789,499271,21279447
2025-01-06,USA,2202,1016,1994,21728991,500287,21281441
2025-01-05,USA,6991,1976,6860,21735982,502263,21288301
2025-01-04,USA,1884,846,1596,21737866,503109,21289897
2025-01-03,USA,44577,606,44293,21782443,503715,21334190
2025-01-02,USA,15606,380,15536,21798049,504095,21349726
2025-01-01,USA,38740,425,38287,21836789,504520,21388013
2024-12-31,USA,13610,1426,13258,21850399,505946,21401271
2024-12-30,USA,5569,398,5238,21855968,506344,21406509
2024-12-29,USA,46185,289,45869,21902153,506633,21452378
2024-12-28,USA,42167,1016,41771,21944320,507649,21494149
2024-12-27,USA,7480,688,7394,21951800,508337,21501543
2024-12-26,USA,43119,468,42700,21994919,508805,21544243
2024-12-25,USA,30766,153,30553,22025685,508958,21574796
2024-12-24,USA,42622,289,42169,22068307,509247,21616965
2024-12-23,USA,25840,1457,25518,22094147,510704,21642483
2024-12-22,USA,34463,1139,34399,22128610,511843,21676882
2024-12-21,USA,19366,1551,19053,22147976,513394,21695935
2024-12-20,USA,42009,1511,41513,22189985,514905,21737448
2024-12-19,USA,24249,548,24073,22214234,515453,21761521
2024-12-18,USA,15279,1315,15099,22229513,516768,21776620
2024-12-17,USA,15590,1772,15275,22245103,518540,21791895
2024-12-16,USA,20521,848,20117,22265624,519388,21812012
2024-12-15,USA,10194,1415,9953,22275818,520803,21821965
2024-12-14,USA,33081,1104,32777,22308899,521907,21854742
2024-12-13,USA,11262,81,11030,22320161,521988,21865772
2024-12-12,USA,17947,1678,17472,22338108,523666,21883244
2024-12-11,USA,42568,625,42447,22380676,524291,21925691
2024-12-10,USA,12430,354,12320,22393106,524645,21938011
2024-12-09,USA,11212,246,10886,22404318,524891,21948897
2024-12-08,USA,27916,1503,27469,22432234,526394,21976366
2024-12-07,USA,11271,66,10817,22443505,526460,21987183
2024-12-06,USA,34532,63,34178,22478037,526523,22021361
2024-12-05,USA,27490,543,27180,22505527,527066,22048541
2024-12-04,USA,22839,128,22827,22528366,527194,22071368
2024-12-03,USA,44501,718,44093,22572867,527912,22115461
2024-12-02,USA,26553,88,26485,22599420,528000,22141946
2024-12-01,USA,10375,775,10176,22609795,528775,22152122
2024-11-30,USA,25144,951,24871,22634939,529726,22176993
2024-11-29,USA,19653,1578,19312,22654592,531304,22196305
2024-11-28,USA,25024,1906,24690,22679616,533210,22220995
2024-11-27,USA,7632,1643,7430,22687248,534853,22228425
2024-11-26,USA,42414,1665,42364,22729662,536518,22270789
2024-11-25,USA,17159,592,16805,22746821,537110,22287594
2024-11-24,USA,47837,38,47667,22794658,537148,22335261
2024-11-23,USA,25022,197,24891,22819680,537345,22360152
2024-11-22,USA,39934,841,39867,22859614,538186,22400019
2024-11-21,USA,34355,293,34125,22893969,538479,22434144
2024-11-20,USA,5175,145,4797,22899144,538624,22438941
2024-11-19,USA,7708,1905,7562,22906852,540529,22446503
2024-11-18,USA,38373,489,37982,22945225,541018,22484485
2024-11-17,USA,26677,1037,26277,22971902,542055,22510762
2024-11-16,USA,12263,923,12195,22984165,542978,22522957
2024-11-15,USA,15673,1486,15486,22999838,544464,22538443
2024-11-14,USA,34816,905,34624,23034654,545369,22573067
2024-11-13,USA,21436,729,20978,23056090,546098,22594045
2024-11-12,USA,36273,501,36262,23092363,546599,22630307
2024-11-11,USA,16556,1302,16346,23108919,547901,22646653
2024-11-10,USA,33548,177,33247,23142467,548078,22679900
2024-11-09,USA,9583,1948,9486,23152050,550026,22689386
2024-11-08,USA,49084,730,48648,23201134,550756,22738034
2024-11-07,USA,2856,218,2486,23203990,550974,22740520
2024-11-06,USA,34698,797,34663,23238688,551771,22775183
2024-11-05,USA,6550,945,6535,23245238,552716,22781718
2024-11-04,USA,12092,1159,12084,23257330,553875,22793802
2024-11-03,USA,48429,1181,47976,23305759,555056,22841778
2024-11-02,USA,43778,1438,43432,23349537,556494,22885210
2024-11-01,USA,21139,1900,20933,23370676,558394,22906143
2024-10-31,USA,14971,1812,14833,23385647,560206,22920976
2024-10-30,USA,17792,1596,17706,23403439,561802,22938682
2024-10-29,USA,36271,1312,36247,23439710,563114,22974929
2024-10-28,USA,44373,752,43932,23484083,563866,23018861
2024-10-27,USA,35432,124,35075,23519515,563990,23053936
2024-10-26,USA,13538,1170,13120,23533053,565160,23067056
2024-10-25,USA,33587,1827,33545,23566640,566987,23100601
2024-10-24,USA,37825,868,37447,23604465,567855,23138048
2024-10-23,USA,45005,103,44516,23649470,567958,23182564
2024-10-22,USA,39947,896,39929,23689417,568854,23222493
2024-10-21,USA,8836,867,8620,23698253,569721,23231113
2024-10-20,USA,31136,1478,30736,23729389,571199,23261849
2024-10-19,USA,22424,372,22123,23751813,571571,23283972
2024-10-18,USA,8674,360,8418,23760487,571931,23292390
2024-10-17,USA,45107,538,44622,23805594,572469,23337012
2024-10-16,USA,33672,40,33525,23839266,572509,23370537
2024-10-15,USA,43677,1127,43561,23882943,573636,23414098
2024-10-14,USA,9449,717,9176,23892392,574353,23423274
2024-10-13,USA,49318,1626,49049,23941710,575979,23472323
2024-10-12,USA,39722,114,39487,23981432,576093,23511810
2024-10-11,USA,7050,759,6724,23988482,576852,23518534
2024-10-10,USA,37473,1793,37163,24025955,578645,23555697
2024-10-09,USA,36010,707,35540,24061965,579352,23591237
2024-10-08,USA,36661,189,36438,24098626,579541,23627675
2024-10-07,USA,35904,721,35824,24134530,580262,23663499
2024-10-06,USA,48415,123,48391,24182945,580385,23711890
2024-10-05,USA,44966,404,44644,24227911,580789,23756534
2024-10-04,USA,15926,58,15650,24243837,580847,23772184
2024-10-03,USA,35682,448,35614,24279519,581295,23807798
2024-10-02,USA,42679,708,42432,24322198,582003,23850230
2024-10-01,USA,32466,26,31971,24354664,582029,23882201
2024-09-30,USA,28811,1052,28600,24383475,583081,23910801
2024-09-29,USA,28548,863,28523,24412023,583944,23939324
2024-09-28,USA,25749,365,25643,24437772,584309,23964967
2024-09-27,USA,6001,651,5866,24443773,584960,23970833
2024-09-26,USA,35560,1686,35262,24479333,586646,24006095
2024-09-25,USA,1798,1532,1718,24481131,588178,24007813
2024-09-24,USA,16306,1782,15943,24497437,589960,24023756
2024-09-23,USA,13802,1320,13525,24511239,591280,24037281
2024-09-22,USA,48350,18,48317,24559589,591298,24085598
2024-09-21,USA,48066,1485,47576,24607655,592783,24133174
2024-09-20,USA,7616,491,7545,24615271,593274,24140719
2024-09-19,USA,31310,538,31080,24646581,593812,24171799
2024-09-18,USA,5562,793,5536,24652143,594605,24177335
2024-09-17,USA,21364,1700,20923,24673507,596305,24198258
2024-09-16,USA,14812,1927,14721,24688319,598232,24212979
2024-09-15,USA,31565,831,31285,24719884,599063,24244264
2024-09-14,USA,31963,316,31719,24751847,599379,24275983
2024-09-13,USA,33221,1851,33015,24785068,601230,24308998
2024-09-12,USA,5301,205,5051,24790369,601435,24314049
2024-09-11,USA,16616,849,16120,24806985,602284,24330169
2024-09-10,USA,48428,1550,48281,24855413,603834,24378450
2024-09-09,USA,42189,1250,41826,24897602,605084,24420276
2024-09-08,USA,38881,274,38847,24936483,605358,24459123
2024-09-07,USA,38907,272,38756,24975390,605630,24497879
2024-09-06,USA,12845,960,12718,24988235,606590,24510597
2024-09-05,USA,1905,756,1700,24990140,607346,24512297
2024-09-04,USA,9807,1678,9737,24999947,609024,24522034
2024-09-03,USA,11647,1420,11376,25011594,610444,24533410
2024-09-02,USA,42528,910,42485,25054122,611354,24575895
2024-09-01,USA,17672,758,17559,25071794,612112,24593454
2024-08-31,USA,45032,1966,44589,25116826,614078,24638043
2024-08-30,USA,35707,688,35488,25152533,614766,24673531
2024-08-29,USA,24083,1809,23908,25176616,616575,24697439
2024-08-28,USA,41418,592,41068,25218034,617167,24738507
2024-08-27,USA,959,522,623,25218993,617689,24739130
2024-08-26,USA,38337,15,37947,25257330,617704,24777077
2024-08-25,USA,44898,166,44442,25302228,617870,24821519
2024-08-24,USA,49376,1183,49112,25351604,619053,24870631
2024-08-23,USA,3795,641,3325,25355399,619694,24873956
2024-08-22,USA,26728,1405,26329,25382127,621099,24900285
2024-08-21,USA,44587,651,44237,25426714,621750,24944522
2024-08-20,USA,18210,1763,17753,25444924,623513,24962275
2024-08-19,USA,31623,1124,31616,25476547,624637,24993891
2024-08-18,USA,33740,1148,33676,25510287,625785,25027567
2024-08-17,USA,36899,1178,36801,25547186,626963,25064368
2024-08-16,USA,23821,1490,23599,25571007,628453,25087967
2024-08-15,USA,558,836,490,25571565,629289,25088457
2024-08-14,USA,11137,15,10735,25582702,629304,25099192
2024-08-13,USA,45166,1413,44751,25627868,630717,25143943
2024-08-12,USA,5338,1898,5161,25633206,632615,25149104
2024-08-11,USA,5030,1502,4547,25638236,634117,25153651
2024-08-10,USA,11388,1842,11360,25649624,635959,25165011
2024-08-09,USA,40957,1279,40865,25690581,637238,25205876
2024-08-08,USA,30678,1974,30404,25721259,639212,25236280
2024-08-07,USA,18990,268,18883,25740249,639480,25255163
2024-08-06,USA,13910,304,13630,25754159,639784,25268793
2024-08-05,USA,36699,1890,36526,25790858,641674,25305319
2024-08-04,USA,33818,975,33362,25824676,642649,25338681
2024-08-03,USA,4215,78,3990,25828891,642727,25342671
2024-08-02,USA,16708,1408,16491,25845599,644135,25359162
2024-08-01,USA,7633,305,7529,25853232,644440,25366691
2024-07-31,USA,12799,1354,12489,25866031,645794,25379180
2024-07-30,USA,24655,442,24515,25890686,646236,25403695
2024-07-29,USA,33687,668,33194,25924373,646904,25436889
2024-07-28,USA,40597,1657,40528,25964970,648561,25477417
2024-07-27,USA,22042,546,21694,25987012,649107,25499111
2024-07-26,USA,20987,1189,20852,26007999,650296,25519963
2024-07-25,USA,19103,22,18617,26027102,650318,25538580
2024-07-24,USA,16911,1487,16741,26044013,651805,25555321
2024-07-23,USA,25986,739,25950,26069999,652544,25581271
2024-07-22,USA,27492,277,27389,26097491,652821,25608660
2024-07-21,USA,18360,1355,17991,26115851,654176,25626651
2024-07-20,USA,22543,982,22502,26138394,655158,25649153
2024-07-19,USA,45137,1778,44999,26183531,656936,25694152
2024-07-18,USA,42974,241,42612,26226505,657177,25736764
2024-07-17,USA,14688,183,14389,26241193,657360,25751153
2024-07-16,USA,42167,815,41777,26283360,658175,25792930
2024-07-15,USA,39993,1235,39804,26323353,659410,25832734
2024-07-14,USA,6762,1888,6748,26330115,661298,25839482
2024-07-13,USA,19102,1381,18697,26349217,662679,25858179
2024-07-12,USA,28934,979,28903,26378151,663658,25887082
2024-07-11,USA,16044,779,15581,26394195,664437,25902663
2024-07-10,USA,17894,1893,17483,26412089,666330,25920146
2024-07-09,USA,44226,1230,43773,26456315,667560,25963919
2024-07-08,USA,37489,679,37116,26493804,668239,26001035
2024-07-07,USA,31093,1583,30651,26524897,669822,26031686
2024-07-06,USA,13951,864,13837,26538848,670686,26045523
2024-07-05,USA,13953,801,13686,26552801,671487,26059209
2024-07-04,USA,46473,637,46209,26599274,672124,26105418
2024-07-03,USA,2973,1375,2550,26602247,673499,26107968
2024-07-02,USA,30979,967,30560,26633226,674466,26138528
2024-07-01,USA,34285,1182,34237,26667511,675648,26172765
2024-06-30,USA,9705,398,9404,26677216,676046,26182169
2024-06-29,USA,3531,420,3154,26680747,676466,26185323
2024-06-28,USA,12771,345,12416,26693518,676811,26197739
2024-06-27,USA,36138,1973,36120,26729656,678784,26233859
2024-06-26,USA,14114,1493,13973,26743770,680277,26247832
2024-06-25,USA,4180,149,3867,26747950,680426,26251699
2024-06-24,USA,19230,387,18843,26767180,680813,26270542
2024-06-23,USA,43693,927,43490,26810873,681740,26314032
2024-06-22,USA,38754,837,38501,26849627,682577,26352533
2024-06-21,USA,7006,655,6579,26856633,683232,26359112
2024-06-20,USA,30211,1762,29832,26886844,684994,26388944
2024-06-19,USA,46741,1275,46410,26933585,686269,26435354
2024-06-18,USA,45623,607,45225,26979208,686876,26480579
2024-06-17,USA,2691,1636,2588,26981899,688512,26483167
2024-06-16,USA,7718,1503,7457,26989617,690015,26490624
2024-06-15,USA,25786,1914,25601,27015403,691929,26516225
2024-06-14,USA,43724,322,43668,27059127,692251,26559893
2024-06-13,USA,45704,405,45471,27104831,692656,26605364
2024-06-12,USA,39731,569,39537,27144562,693225,26644901
2024-06-11,USA,12943,1786,12690,27157505,695011,26657591
2024-06-10,USA,25273,436,24850,27182778,695447,26682441
2024-06-09,USA,28217,17,27932,27210995,695464,26710373
2024-06-08,USA,7290,1680,6814,27218285,697144,26717187
2024-06-07,USA,30767,246,30281,27249052,697390,26747468
2024-06-06,USA,32455,92,32105,27281507,697482,26779573
2024-06-05,USA,6356,559,6177,27287863,698041,26785750
2024-06-04,USA,42249,1630,41905,27330112,699671,26827655
2024-06-03,USA,43335,484,42877,27373447,700155,26870532
2024-06-02,USA,40387,1674,40281,27413834,701829,26910813
2024-06-01,USA,10056,846,9681,27423890,702675,26920494
2024-05-31,USA,8435,469,8333,27432325,703144,26928827
2024-05-30,USA,40594,522,40549,27472919,703666,26969376
2024-05-29,USA,7773,988,7647,27480692,704654,26977023
2024-05-28,USA,42955,480,42755,27523647,705134,27019778
2024-05-27,USA,18421,1941,18360,27542068,707075,27038138
2024-05-26,USA,49123,731,48824,27591191,707806,27086962
2024-05-25,USA,8726,1622,8400,27599917,709428,27095362
2024-05-24,USA,30746,1942,30689,27630663,711370,27126051
2024-05-23,USA,40269,589,40066,27670932,711959,27166117
2024-05-22,USA,26798,1413,26736,27697730,713372,27192853
2024-05-21,USA,14838,1200,14363,27712568,714572,27207216
2024-05-20,USA,21296,341,20808,27733864,714913,27228024
2024-05-19,USA,37657,889,37192,27771521,715802,27265216
2024-05-18,USA,28443,1787,28234,27799964,717589,27293450
2024-05-17,USA,40411,1719,40130,27840375,719308,27333580
2024-05-16,USA,4896,1266,4850,27845271,720574,27338430
2024-05-15,USA,7797,1763,7673,27853068,722337,27346103
2024-05-14,USA,25540,1051,25275,27878608,723388,27371378
2024-05-13,USA,32587,247,32124,27911195,723635,27403502
2024-05-12,USA,46212,1314,46147,27957407,724949,27449649
2024-05-11,USA,9117,676,8916,27966524,725625,27458565
2024-05-10,USA,40469,262,40071,28006993,725887,27498636
2024-05-09,USA,3958,1545,3746,28010951,727432,27502382
2024-05-08,USA,35010,1061,34975,28045961,728493,27537357
2024-05-07,USA,26226,1439,25877,28072187,729932,27563234
2024-05-06,USA,1481,1932,1399,28073668,731864,27564633
2024-05-05,USA,21675,110,21361,28095343,731974,27585994
2024-05-04,USA,2340,1280,2182,28097683,733254,27588176
2024-05-03,USA,16208,257,15987,28113891,733511,27604163
2024-05-02,USA,14224,1067,13983,28128115,734578,27618146
2024-05-01,USA,17847,1186,17486,28145962,735764,27635632
2024-04-30,USA,31464,1006,31389,28177426,736770,27667021
2024-04-29,USA,19973,1520,19751,28197399,738290,27686772
2024-04-28,USA,7282,1492,7247,28204681,739782,27694019
2024-04-27,USA,35917,1090,35623,28240598,740872,27729642
2024-04-26,USA,2698,1466,2209,28243296,742338,27731851
2024-04-25,USA,48774,1254,48656,28292070,743592,27780507
2024-04-24,USA,40314,1635,40233,28332384,745227,27820740
2024-04-23,USA,34309,1109,34269,28366693,746336,27855009
2024-04-22,USA,3633,924,3147,28370326,747260,27858156
2024-04-21,USA,16535,874,16242,28386861,748134,27874398
2024-04-20,USA,30410,776,30141,28417271,748910,27904539
2024-04-19,USA,32823,237,32473,28450094,749147,27937012
2024-04-18,USA,21706,1446,21630,28471800,750593,27958642
2024-04-17,USA,819,1143,630,28472619,751736,27959272
2024-04-16,USA,37455,1880,37313,28510074,753616,27996585
2024-04-15,USA,45029,1248,44540,28555103,754864,28041125
2024-04-14,USA,24652,1737,24494,28579755,756601,28065619
2024-04-13,USA,3383,174,3030,28583138,756775,28068649
2024-04-12,USA,33383,1204,32944,28616521,757979,28101593
2024-04-11,USA,30259,1809,29780,28646780,759788,28131373
2024-04-10,USA,26472,407,26046,28673252,760195,28157419
2024-04-09,USA,47348,1042,47136,28720600,761237,28204555
2024-04-08,USA,19574,968,19515,28740174,762205,28224070
2024-04-07,USA,4690,47,4245,28744864,762252,28228315
2024-04-06,USA,8142,605,7827,28753006,762857,28236142
2024-04-05,USA,40437,474,40317,28793443,763331,28276459
2024-04-04,USA,31898,682,31442,28825341,764013,28307901
2024-04-03,USA,21731,711,21412,28847072,764724,28329313
2024-04-02,USA,9763,285,9720,28856835,765009,28339033
2024-04-01,USA,31399,637,31081,28888234,765646,28370114
2024-03-31,USA,38884,1776,38841,28927118,767422,28408955
2024-03-30,USA,41505,1024,41455,28968623,768446,28450410
2024-03-29,USA,45931,1906,45620,29014554,770352,28496030
2024-03-28,USA,48579,1384,48481,29063133,771736,28544511
2024-03-27,USA,20323,1425,20244,29083456,773161,28564755
2024-03-26,USA,22472,1209,22140,29105928,774370,28586895
2024-03-25,USA,14976,1234,14942,29120904,775604,28601837
2024-03-24,USA,12405,339,12298,29133309,775943,28614135
2024-03-23,USA,10244,1952,9767,29143553,777895,28623902
2024-03-22,USA,21511,1858,21232,29165064,779753,28645134
2024-03-21,USA,816,738,355,29165880,780491,28645489
2024-03-20,USA,35822,1708,35667,29201702,782199,28681156
2024-03-19,USA,21231,488,20751,29222933,782687,28701907
2024-03-18,USA,5771,1561,5548,29228704,784248,28707455
2024-03-17,USA,3303,946,3203,29232007,785194,28710658
2024-03-16,USA,877,651,759,29232884,785845,28711417
2024-03-15,USA,13028,1120,12856,29245912,786965,28724273
2024-03-14,USA,43171,353,42688,29289083,787318,28766961
2024-03-13,USA,32685,1226,32296,29321768,788544,28799257
2024-03-12,USA,38838,1685,38507,29360606,790229,28837764
2024-03-11,USA,34730,1322,34491,29395336,791551,28872255
2024-03-10,USA,5030,566,4539,29400366,792117,28876794
2025-03-09,India,28877,965,28578,19441862,167067,19275461
2025-03-08,India,3866,1055,3790,19445728,168122,19279251
2025-03-07,India,12413,123,11967,19458141,168245,19291218
2025-03-06,India,31626,958,31536,19489767,169203,19322754
2025-03-05,India,16488,1721,16323,19506255,170924,19339077
2025-03-04,India,47148,1881,46797,19553403,172805,19385874
2025-03-03,India,25060,907,24609,19578463,173712,19410483
2025-03-02,India,12021,970,11556,19590484,174682,19422039
2025-03-01,India,34728,1978,34691,19625212,176660,19456730
2025-02-28,India,18765,1112,18555,19643977,177772,19475285
2025-02-27,India,44677,111,44538,19688654,177883,19519823
2025-02-26,India,36216,773,35967,19724870,178656,19555790
2025-02-25,India,46621,1554,46492,19771491,180210,19602282
2025-02-24,India,17582,683,17212,19789073,180893,19619494
2025-02-23,India,9794,912,9554,19798867,181805,19629048
2025-02-22,India,3101,486,2956,19801968,182291,19632004
2025-02-21,India,33160,196,32698,19835128,182487,19664702
2025-02-20,India,41606,1726,41400,19876734,184213,19706102
2025-02-19,India,20997,951,20570,19897731,185164,19726672
2025-02-18,India,47202,1185,47066,19944933,186349,19773738
2025-02-17,India,24788,1922,24494,19969721,188271,19798232
2025-02-16,India,11960,1952,11504,19981681,190223,19809736
2025-02-15,India,6561,1459,6066,19988242,191682,19815802
2025-02-14,India,16380,1594,15959,20004622,193276,19831761
2025-02-13,India,20917,811,20430,20025539,194087,19852191
2025-02-12,India,12242,1981,11755,20037781,196068,19863946
2025-02-11,India,27909,1427,27714,20065690,197495,19891660
2025-02-10,India,41112,1452,40714,20106802,198947,19932374
2025-02-09,India,25284,1930,25247,20132086,200877,19957621
2025-02-08,India,24090,672,23818,20156176,201549,19981439
2025-02-07,India,48835,800,48635,20205011,202349,20030074
2025-02-06,India,1599,1393,1118,20206610,203742,20031192
2025-02-05,India,47965,1080,47583,20254575,204822,20078775
2025-02-04,India,22979,281,22919,20277554,205103,20101694
2025-02-03,India,6467,628,6159,20284021,205731,20107853
2025-02-02,India,46803,950,46417,20330824,206681,20154270
2025-02-01,India,14899,1367,14637,20345723,208048,20168907
2025-01-31,India,36566,86,36323,20382289,208134,20205230
2025-01-30,India,45423,641,44992,20427712,208775,20250222
2025-01-29,India,14255,1390,14238,20441967,210165,20264460
2025-01-28,India,3355,1639,3026,20445322,211804,20267486
2025-01-27,India,3544,717,3086,20448866,212521,20270572
2025-01-26,India,21887,69,21805,20470753,212590,20292377
2025-01-25,India,17665,1160,17455,20488418,213750,20309832
2025-01-24,India,34307,824,34192,20522725,214574,20344024
2025-01-23,India,36993,1024,36795,20559718,215598,20380819
2025-01-22,India,38225,1428,38147,20597943,217026,20418966
2025-01-21,India,18223,786,18009,20616166,217812,20436975
2025-01-20,India,33627,464,33381,20649793,218276,20470356
2025-01-19,India,44479,1303,44020,20694272,219579,20514376
